Date,Close
2007-09-17 00:00:00+05:30,4494.649902
2007-09-18 00:00:00+05:30,4546.200195
2007-09-19 00:00:00+05:30,4732.350098
2007-09-20 00:00:00+05:30,4747.549805
2007-09-21 00:00:00+05:30,4837.549805
2007-09-24 00:00:00+05:30,4932.200195
2007-09-25 00:00:00+05:30,4938.850098
2007-09-26 00:00:00+05:30,4940.5
2007-09-27 00:00:00+05:30,5000.549805
2007-09-28 00:00:00+05:30,5021.350098
2007-10-01 00:00:00+05:30,5068.950195
2007-10-03 00:00:00+05:30,5210.799805
2007-10-04 00:00:00+05:30,5208.649902
2007-10-05 00:00:00+05:30,5185.850098
2007-10-08 00:00:00+05:30,5085.100098
2007-10-09 00:00:00+05:30,5327.25
2007-10-10 00:00:00+05:30,5441.450195
2007-10-11 00:00:00+05:30,5524.850098
2007-10-12 00:00:00+05:30,5428.25
2007-10-15 00:00:00+05:30,5670.399902
2007-10-16 00:00:00+05:30,5668.049805
2007-10-17 00:00:00+05:30,5559.299805
2007-10-18 00:00:00+05:30,5351
2007-10-19 00:00:00+05:30,5215.299805
2007-10-22 00:00:00+05:30,5184
2007-10-23 00:00:00+05:30,5473.700195
2007-10-24 00:00:00+05:30,5496.149902
2007-10-25 00:00:00+05:30,5568.950195
2007-10-26 00:00:00+05:30,5702.299805
2007-10-29 00:00:00+05:30,5905.899902
2007-10-30 00:00:00+05:30,5868.75
2007-10-31 00:00:00+05:30,5900.649902
2007-11-01 00:00:00+05:30,5866.450195
2007-11-02 00:00:00+05:30,5932.399902
2007-11-05 00:00:00+05:30,5847.299805
2007-11-06 00:00:00+05:30,5786.5
2007-11-07 00:00:00+05:30,5782.350098
2007-11-08 00:00:00+05:30,5698.75
2007-11-12 00:00:00+05:30,5617.100098
2007-11-13 00:00:00+05:30,5695.399902
2007-11-14 00:00:00+05:30,5937.899902
2007-11-15 00:00:00+05:30,5912.100098
2007-11-16 00:00:00+05:30,5906.850098
2007-11-19 00:00:00+05:30,5907.649902
2007-11-20 00:00:00+05:30,5780.899902
2007-11-21 00:00:00+05:30,5561.049805
2007-11-22 00:00:00+05:30,5519.350098
2007-11-23 00:00:00+05:30,5608.600098
2007-11-26 00:00:00+05:30,5731.700195
